G1;G2;|G1|;|G2|;Coeff Vars;Coeff Lits;
 [g('$VAR'(7),'$VAR'(2)),g('$VAR'(9),'$VAR'(2)),i('$VAR'(6),'$VAR'(4)),f('$VAR'(7)),i('$VAR'(2),'$VAR'(6)),f('$VAR'(10)),h('$VAR'(8),'$VAR'(5),'$VAR'(7)),g('$VAR'(5),'$VAR'(8)),h('$VAR'(8),'$VAR'(4),'$VAR'(8)),h('$VAR'(7),'$VAR'(7),'$VAR'(10)),h('$VAR'(10),'$VAR'(3),'$VAR'(6)),h('$VAR'(1),'$VAR'(8),'$VAR'(9)),g('$VAR'(10),'$VAR'(1)),g('$VAR'(10),'$VAR'(6)),g('$VAR'(1),'$VAR'(6)),i('$VAR'(8),'$VAR'(10)),i('$VAR'(1),'$VAR'(2)),h('$VAR'(3),'$VAR'(5),'$VAR'(8))]; [g('$VAR'(12),'$VAR'(13)),g('$VAR'(12),'$VAR'(11)),i('$VAR'(11),'$VAR'(16)),h('$VAR'(16),'$VAR'(14),S),h('$VAR'(16),'$VAR'(17),'$VAR'(14)),g('$VAR'(13),'$VAR'(15)),g('$VAR'(14),'$VAR'(16)),g('$VAR'(14),'$VAR'(16)),g('$VAR'(16),'$VAR'(13)),f(R),g('$VAR'(16),R),f(R),h('$VAR'(11),'$VAR'(14),'$VAR'(17)),h('$VAR'(16),'$VAR'(14),S),g('$VAR'(14),'$VAR'(13)),h('$VAR'(14),'$VAR'(11),'$VAR'(12)),i(R,'$VAR'(15)),f('$VAR'(16))];18;18;3628800;174182400;
 [g('$VAR'(5),'$VAR'(3)),g('$VAR'(3),'$VAR'(4)),i('$VAR'(10),'$VAR'(9)),i('$VAR'(1),'$VAR'(2)),f('$VAR'(4)),h('$VAR'(10),'$VAR'(5),'$VAR'(9)),f('$VAR'(2)),h('$VAR'(9),'$VAR'(6),'$VAR'(7)),i('$VAR'(1),'$VAR'(6)),i('$VAR'(7),'$VAR'(9)),h('$VAR'(7),'$VAR'(9),'$VAR'(3)),g('$VAR'(3),'$VAR'(2)),f('$VAR'(5)),i('$VAR'(6),'$VAR'(1)),h('$VAR'(9),'$VAR'(10),'$VAR'(2)),i('$VAR'(2),'$VAR'(8)),h('$VAR'(1),'$VAR'(10),'$VAR'(1)),g('$VAR'(5),'$VAR'(1)),i('$VAR'(4),'$VAR'(1))]; [i(S,'$VAR'(11)),f(S),h('$VAR'(14),'$VAR'(15),'$VAR'(12)),i('$VAR'(16),'$VAR'(13)),i('$VAR'(15),'$VAR'(13)),g('$VAR'(17),'$VAR'(11)),g(S,S),h('$VAR'(13),'$VAR'(15),R),i(R,'$VAR'(17)),g(S,S),i('$VAR'(17),'$VAR'(15)),f('$VAR'(14)),i('$VAR'(12),'$VAR'(13)),i('$VAR'(17),'$VAR'(14)),f(R),g('$VAR'(13),'$VAR'(16)),h('$VAR'(14),'$VAR'(13),'$VAR'(13)),f('$VAR'(13)),i('$VAR'(13),'$VAR'(15))];19;19;3628800;139345920;
 [f('$VAR'(3)),h('$VAR'(10),'$VAR'(5),'$VAR'(1)),f('$VAR'(1)),f('$VAR'(10)),f('$VAR'(4)),i('$VAR'(2),'$VAR'(3)),g('$VAR'(3),'$VAR'(10)),i('$VAR'(9),'$VAR'(2)),h('$VAR'(7),'$VAR'(1),'$VAR'(2)),g('$VAR'(4),'$VAR'(6)),g('$VAR'(2),'$VAR'(8)),g('$VAR'(7),'$VAR'(10)),g('$VAR'(3),'$VAR'(7)),g('$VAR'(3),'$VAR'(2)),g('$VAR'(2),'$VAR'(4)),i('$VAR'(1),'$VAR'(3)),g('$VAR'(4),'$VAR'(10))]; [h('$VAR'(11),'$VAR'(15),R),i('$VAR'(13),'$VAR'(16)),g('$VAR'(16),S),i('$VAR'(14),S),i('$VAR'(11),'$VAR'(13)),f(R),h(T,S,'$VAR'(17)),i('$VAR'(11),'$VAR'(16)),h('$VAR'(17),T,'$VAR'(12)),i('$VAR'(12),'$VAR'(14)),f(R),g(R,T),f('$VAR'(12)),f(R),i(S,'$VAR'(11)),f(S),g('$VAR'(13),'$VAR'(14)),i('$VAR'(14),S)];17;18;3628800;50803200;
 [i('$VAR'(1),'$VAR'(7)),f('$VAR'(5)),f('$VAR'(1)),f('$VAR'(6)),h('$VAR'(9),'$VAR'(7),'$VAR'(4)),f('$VAR'(5)),f('$VAR'(2)),f('$VAR'(7)),h('$VAR'(7),'$VAR'(5),'$VAR'(3)),h('$VAR'(1),'$VAR'(7),'$VAR'(2)),h('$VAR'(4),'$VAR'(2),'$VAR'(8)),f('$VAR'(2)),h('$VAR'(4),'$VAR'(10),'$VAR'(1)),h('$VAR'(9),'$VAR'(9),'$VAR'(2)),f('$VAR'(9)),i('$VAR'(10),'$VAR'(6)),g('$VAR'(5),'$VAR'(9)),h('$VAR'(8),'$VAR'(6),'$VAR'(4))]; [i(T,'$VAR'(17)),f('$VAR'(11)),i(R,T),g(S,'$VAR'(13)),h(R,'$VAR'(12),'$VAR'(11)),h('$VAR'(11),'$VAR'(15),'$VAR'(15)),f('$VAR'(14)),i('$VAR'(12),T),h('$VAR'(13),'$VAR'(12),R),i('$VAR'(12),'$VAR'(12)),h(R,'$VAR'(14),T),i('$VAR'(15),R),h(R,S,'$VAR'(14)),i(R,'$VAR'(12)),g('$VAR'(13),'$VAR'(16)),f('$VAR'(17)),g(S,'$VAR'(11)),f(R)];18;18;3628800;36288000;
 [h('$VAR'(4),'$VAR'(1),'$VAR'(1)),i('$VAR'(6),'$VAR'(7)),f('$VAR'(8)),g('$VAR'(7),'$VAR'(3)),g('$VAR'(4),'$VAR'(9)),g('$VAR'(6),'$VAR'(4)),f('$VAR'(6)),h('$VAR'(9),'$VAR'(1),'$VAR'(3)),h('$VAR'(4),'$VAR'(7),'$VAR'(3)),h('$VAR'(9),'$VAR'(8),'$VAR'(9)),h('$VAR'(3),'$VAR'(9),'$VAR'(7)),f('$VAR'(7)),g('$VAR'(5),'$VAR'(2)),h('$VAR'(10),'$VAR'(5),'$VAR'(9)),h('$VAR'(8),'$VAR'(2),'$VAR'(8)),g('$VAR'(10),'$VAR'(7)),h('$VAR'(10),'$VAR'(8),'$VAR'(5)),i('$VAR'(10),'$VAR'(10)),g('$VAR'(8),'$VAR'(2))]; [h('$VAR'(12),'$VAR'(16),R),f(S),h(S,'$VAR'(14),S),h('$VAR'(12),'$VAR'(17),R),g('$VAR'(12),'$VAR'(14)),g(R,'$VAR'(13)),g('$VAR'(12),R),i('$VAR'(13),'$VAR'(17)),g('$VAR'(11),'$VAR'(16)),f('$VAR'(13)),h('$VAR'(13),'$VAR'(15),S),h('$VAR'(14),'$VAR'(12),'$VAR'(14)),f('$VAR'(17)),f(R),h(S,'$VAR'(16),S),f('$VAR'(16)),h('$VAR'(12),S,'$VAR'(12))];19;17;3628800;15552000;
 [f('$VAR'(2)),f('$VAR'(1)),h('$VAR'(1),'$VAR'(2),'$VAR'(4)),h('$VAR'(7),'$VAR'(3),'$VAR'(4)),g('$VAR'(4),'$VAR'(8)),g('$VAR'(6),'$VAR'(2)),g('$VAR'(9),'$VAR'(6)),i('$VAR'(7),'$VAR'(1)),i('$VAR'(4),'$VAR'(6)),i('$VAR'(4),'$VAR'(10)),f('$VAR'(8)),h('$VAR'(6),'$VAR'(1),'$VAR'(7)),i('$VAR'(1),'$VAR'(2)),h('$VAR'(9),'$VAR'(2),'$VAR'(3)),g('$VAR'(4),'$VAR'(1)),f('$VAR'(10)),g('$VAR'(3),'$VAR'(4))]; [f('$VAR'(15)),f('$VAR'(12)),f(S),f('$VAR'(16)),h('$VAR'(14),'$VAR'(16),'$VAR'(16)),g(R,'$VAR'(13)),g('$VAR'(14),'$VAR'(12)),g('$VAR'(12),'$VAR'(16)),g(S,'$VAR'(17)),g('$VAR'(11),R),g('$VAR'(14),'$VAR'(15)),f('$VAR'(12)),h('$VAR'(17),'$VAR'(15),'$VAR'(11)),f('$VAR'(14)),f('$VAR'(17)),f('$VAR'(15)),h('$VAR'(13),'$VAR'(16),R)];17;17;362880;14515200;
 [f('$VAR'(8)),h('$VAR'(6),'$VAR'(3),'$VAR'(3)),f('$VAR'(9)),h('$VAR'(3),'$VAR'(7),'$VAR'(9)),f('$VAR'(9)),g('$VAR'(7),'$VAR'(9)),f('$VAR'(6)),f('$VAR'(8)),g('$VAR'(8),'$VAR'(4)),f('$VAR'(9)),f('$VAR'(3)),i('$VAR'(4),'$VAR'(8)),f('$VAR'(10)),i('$VAR'(8),'$VAR'(3)),g('$VAR'(1),'$VAR'(4))]; [h(S,'$VAR'(15),'$VAR'(17)),f('$VAR'(17)),f('$VAR'(11)),h('$VAR'(14),'$VAR'(11),'$VAR'(11)),h('$VAR'(11),S,'$VAR'(11)),i('$VAR'(17),'$VAR'(11)),g('$VAR'(13),'$VAR'(17)),f('$VAR'(14)),f(R),h(T,'$VAR'(11),'$VAR'(15)),h('$VAR'(12),'$VAR'(16),S),g('$VAR'(15),T),f('$VAR'(13)),f('$VAR'(14)),f('$VAR'(12)),f('$VAR'(11)),f('$VAR'(17))];15;17;1814400;13063680;
 [f('$VAR'(2)),h('$VAR'(7),'$VAR'(1),'$VAR'(6)),f('$VAR'(5)),h('$VAR'(1),'$VAR'(10),'$VAR'(7)),i('$VAR'(2),'$VAR'(9)),g('$VAR'(10),'$VAR'(8)),f('$VAR'(10)),f('$VAR'(10)),i('$VAR'(8),'$VAR'(2)),f('$VAR'(7)),i('$VAR'(9),'$VAR'(4)),f('$VAR'(10)),h('$VAR'(1),'$VAR'(2),'$VAR'(2)),i('$VAR'(4),'$VAR'(1)),i('$VAR'(5),'$VAR'(8)),i('$VAR'(2),'$VAR'(9)),g('$VAR'(2),'$VAR'(9)),g('$VAR'(5),'$VAR'(4))]; [g('$VAR'(11),'$VAR'(11)),h(S,'$VAR'(14),T),i('$VAR'(12),'$VAR'(13)),g('$VAR'(12),'$VAR'(12)),f('$VAR'(11)),g('$VAR'(15),R),g(T,'$VAR'(14)),f(T),i('$VAR'(16),R),f('$VAR'(11)),f(T),i('$VAR'(15),'$VAR'(17)),i(S,T),g(T,'$VAR'(13)),g('$VAR'(14),'$VAR'(13)),f('$VAR'(11)),f('$VAR'(15))];18;17;3628800;12441600;
 [g('$VAR'(6),'$VAR'(3)),h('$VAR'(6),'$VAR'(6),'$VAR'(3)),i('$VAR'(4),'$VAR'(9)),h('$VAR'(10),'$VAR'(6),'$VAR'(6)),g('$VAR'(4),'$VAR'(7)),g('$VAR'(5),'$VAR'(3)),i('$VAR'(2),'$VAR'(9)),g('$VAR'(3),'$VAR'(2)),f('$VAR'(7)),i('$VAR'(7),'$VAR'(2)),g('$VAR'(7),'$VAR'(5)),g('$VAR'(1),'$VAR'(6)),h('$VAR'(4),'$VAR'(1),'$VAR'(5)),f('$VAR'(7))]; [f('$VAR'(12)),h('$VAR'(13),'$VAR'(11),'$VAR'(12)),i('$VAR'(15),'$VAR'(16)),i('$VAR'(16),'$VAR'(15)),g('$VAR'(16),'$VAR'(11)),g('$VAR'(16),'$VAR'(11)),i('$VAR'(16),R),g('$VAR'(14),'$VAR'(12)),h(S,'$VAR'(17),'$VAR'(15)),h('$VAR'(14),'$VAR'(17),'$VAR'(15)),i('$VAR'(14),'$VAR'(12)),g(R,'$VAR'(12)),g(T,S),g(T,'$VAR'(14)),i('$VAR'(14),'$VAR'(17)),h('$VAR'(14),'$VAR'(17),'$VAR'(16)),g('$VAR'(16),'$VAR'(17)),f('$VAR'(16)),g('$VAR'(15),'$VAR'(12))];14;19;1814400;9676800;
 [h('$VAR'(9),'$VAR'(4),'$VAR'(6)),f('$VAR'(5)),f('$VAR'(10)),f('$VAR'(7)),f('$VAR'(3)),g('$VAR'(2),'$VAR'(10)),h('$VAR'(8),'$VAR'(8),'$VAR'(1)),g('$VAR'(5),'$VAR'(10)),g('$VAR'(8),'$VAR'(4)),g('$VAR'(7),'$VAR'(4)),i('$VAR'(1),'$VAR'(2)),i('$VAR'(3),'$VAR'(7)),i('$VAR'(8),'$VAR'(5)),h('$VAR'(9),'$VAR'(4),'$VAR'(10)),h('$VAR'(6),'$VAR'(3),'$VAR'(1)),f('$VAR'(2)),h('$VAR'(9),'$VAR'(10),'$VAR'(8)),f('$VAR'(7)),h('$VAR'(3),'$VAR'(5),'$VAR'(5))]; [g(S,'$VAR'(12)),h('$VAR'(13),'$VAR'(13),R),g('$VAR'(16),'$VAR'(11)),g('$VAR'(13),R),h('$VAR'(15),'$VAR'(15),'$VAR'(14)),h(S,'$VAR'(17),'$VAR'(12)),f('$VAR'(13)),i('$VAR'(11),T),h('$VAR'(17),'$VAR'(17),'$VAR'(15)),g('$VAR'(13),'$VAR'(15)),f(T),h('$VAR'(14),'$VAR'(17),'$VAR'(17)),i('$VAR'(13),'$VAR'(12)),i('$VAR'(15),S),g(S,'$VAR'(16)),i(S,'$VAR'(13)),h('$VAR'(17),R,S),g(S,'$VAR'(14))];19;18;3628800;9331200;
